0,1,2,3,4,5,6,7
23.709,23.647,23.767,1468777,509978,2.88,0.1,0
23.773,23.767,23.79,71280,55972,1.27,0.01,0
23.793,23.79,23.797,18847,51988,0.36,0,0
23.832,23.797,23.857,223685,73653,3.04,0.02,0
23.897,23.857,23.907,377287,170636,2.21,0.03,0
23.936,23.907,24.013,826877,249740,3.31,0.06,0
24.02,24.013,24.03,42529,48102,0.88,0,0
24.046,24.03,24.067,106455,55622,1.91,0.01,0
24.068,24.067,24.11,113370,48024,2.36,0.01,0
24.138,24.11,24.163,196985,70461,2.8,0.01,0
24.188,24.163,24.23,220298,67735,3.25,0.02,0
24.235,24.23,24.243,30614,46296,0.66,0,0
24.303,24.243,24.343,542578,144561,3.75,0.04,0
24.4,24.343,24.407,185466,47430,3.91,0.01,0
24.427,24.407,24.437,86086,55554,1.55,0.01,0
24.44,24.437,24.497,173346,55043,3.15,0.01,0
24.528,24.497,24.55,114368,47361,2.41,0.01,0
24.564,24.55,24.577,63575,42175,1.51,0,0
24.627,24.577,24.667,275031,68555,4.01,0.02,0
24.676,24.667,24.693,75346,51618,1.46,0.01,0
24.709,24.693,24.727,93253,54301,1.72,0.01,0
24.752,24.727,24.79,287679,106484,2.7,0.02,0
24.834,24.79,24.91,1273062,492048,2.59,0.09,0
24.95,24.91,24.983,226617,71016,3.19,0.02,0
24.989,24.983,25.04,116880,50145,2.33,0.01,0
25.043,25.04,25.047,11021,31149,0.35,0,0
25.054,25.047,25.07,42773,33606,1.27,0,0
25.079,25.07,25.1,67720,39972,1.69,0,0
25.177,25.1,25.28,13375004,5009691,2.67,0.94,0
25.322,25.28,25.343,207563,64179,3.23,0.01,0
25.361,25.343,25.377,133448,71192,1.87,0.01,0
25.38,25.377,25.4,88218,79334,1.11,0.01,0
25.403,25.4,25.407,20950,53843,0.39,0,0
25.409,25.407,25.43,68055,52676,1.29,0,0
25.458,25.43,25.47,104266,55814,1.87,0.01,0
25.5,25.47,25.503,85599,47059,1.82,0.01,0
25.507,25.503,25.513,24158,43362,0.56,0,0
25.527,25.513,25.543,89906,58608,1.53,0.01,0
25.557,25.543,25.567,70894,54443,1.3,0,0
25.569,25.567,25.593,78424,55066,1.42,0.01,0
25.651,25.593,25.723,1555581,526652,2.95,0.11,0
25.729,25.723,25.737,41593,55659,0.75,0,0
25.794,25.737,25.843,489453,119677,4.09,0.03,0
25.885,25.843,25.957,411149,83604,4.92,0.03,0
25.96,25.957,25.963,15792,40320,0.39,0,0
25.989,25.963,26.01,109935,42999,2.56,0.01,0
26.059,26.01,26.113,419405,128705,3.26,0.03,0
26.13,26.113,26.147,83649,44992,1.86,0.01,0
26.19,26.147,26.193,144985,62051,2.34,0.01,0
26.217,26.193,26.273,243158,63303,3.84,0.02,0
26.348,26.273,26.397,2274892,882191,2.58,0.16,0
26.429,26.397,26.453,347563,134587,2.58,0.02,0
26.456,26.453,26.513,270195,111810,2.42,0.02,0
26.519,26.513,26.547,71914,43663,1.65,0.01,0
26.586,26.547,26.633,326871,105682,3.09,0.02,0
26.66,26.633,26.68,87770,36995,2.37,0.01,0
26.685,26.68,26.69,19136,34904,0.55,0,0
26.693,26.69,26.7,16134,28624,0.56,0,0
26.706,26.7,26.72,41091,36122,1.14,0,0
26.756,26.72,26.797,145120,38592,3.76,0.01,0
26.846,26.797,26.903,289119,80205,3.6,0.02,0
26.906,26.903,26.91,9637,28111,0.34,0,0
26.916,26.91,26.93,26027,23605,1.1,0,0
26.937,26.93,26.967,43183,21949,1.97,0,0
27.005,26.967,27.057,280710,77512,3.62,0.02,0
27.063,27.057,27.07,23168,35868,0.65,0,0
27.102,27.07,27.137,138754,47403,2.93,0.01,0
27.139,27.137,27.163,52068,34333,1.52,0,0
27.183,27.163,27.193,56647,37384,1.52,0,0
27.21,27.193,27.247,112474,43296,2.6,0.01,0
27.304,27.247,27.35,398143,118397,3.36,0.03,0
27.356,27.35,27.363,19260,27918,0.69,0,0
27.379,27.363,27.383,31407,33538,0.94,0,0
27.386,27.383,27.39,9221,23897,0.39,0,0
27.454,27.39,27.493,578660,176948,3.27,0.04,0
27.532,27.493,27.55,400048,164614,2.43,0.03,0
27.593,27.55,27.66,1547921,443149,3.49,0.11,0
27.718,27.66,27.787,909093,261033,3.48,0.06,0
27.839,27.787,27.873,309062,87289,3.54,0.02,0
27.892,27.873,27.917,102156,47725,2.14,0.01,0
27.92,27.917,27.93,24205,33483,0.72,0,0
28.047,27.93,31.037,36461080,8433323,4.32,2.56,1
28.216,28.213,28.223,2607,12185,0.21,0,0
28.251,28.223,28.263,27181,19154,1.42,0,0
28.3,28.297,28.317,3625,1313,2.76,0,0
28.375,28.317,28.42,129373,44762,2.89,0.01,0
28.456,28.42,28.487,18944,12219,1.55,0,0
28.527,28.487,28.537,39793,30957,1.29,0,0
28.545,28.537,28.557,32363,31664,1.02,0,0
28.563,28.557,28.583,37157,29312,1.27,0,0
28.586,28.583,28.593,9303,19878,0.47,0,0
28.609,28.593,28.613,23544,25154,0.94,0,0
28.617,28.613,28.62,7853,21062,0.37,0,0
28.622,28.62,28.65,34376,19321,1.78,0,0
28.654,28.65,28.66,9164,17934,0.51,0,0
28.667,28.66,28.673,11684,19883,0.59,0,0
28.729,28.673,28.793,308255,101572,3.03,0.02,0
28.795,28.793,28.8,1724,6753,0.26,0,0
28.803,28.8,28.813,3216,5986,0.54,0,0
28.83,28.813,28.84,13909,15580,0.89,0,0
28.858,28.84,28.88,30590,19698,1.55,0,0
28.92,28.88,28.937,31163,20627,1.51,0,0
28.949,28.937,28.957,8554,9735,0.88,0,0
28.983,28.957,28.99,24917,20457,1.22,0,0
29.003,28.99,29.023,38897,30633,1.27,0,0
29.067,29.023,29.117,219733,63217,3.48,0.02,0
29.122,29.117,29.137,30386,28737,1.06,0,0
29.14,29.137,29.147,13651,25297,0.54,0,0
29.152,29.147,29.157,15694,28846,0.54,0,0
29.18,29.157,29.197,72598,33807,2.15,0.01,0
29.203,29.197,29.217,38153,36773,1.04,0,0
29.231,29.217,29.26,71848,34085,2.11,0.01,0
29.273,29.26,29.28,19254,19952,0.97,0,0
29.342,29.28,29.38,184206,60584,3.04,0.01,1
29.4,29.38,29.41,26966,22861,1.18,0,0
29.43,29.41,29.437,22610,19843,1.14,0,0
29.443,29.437,29.46,23244,20129,1.15,0,1
29.473,29.46,29.503,18692,14560,1.28,0,0
29.582,29.503,29.623,1537662,650279,2.36,0.11,0
29.669,29.623,29.727,428486,121865,3.52,0.03,1
29.743,29.727,29.78,59364,31311,1.9,0,0
29.796,29.78,29.843,76557,26501,2.89,0.01,1
29.852,29.843,29.857,4528,8490,0.53,0,0
29.867,29.857,29.87,4746,7662,0.62,0,1
29.92,29.87,29.95,78493,23664,3.32,0.01,0
29.977,29.95,30.027,150204,51519,2.92,0.01,0
30.06,30.027,30.067,48340,28567,1.69,0,0
30.12,30.067,30.19,873787,342162,2.55,0.06,0
30.22,30.19,30.253,59251,22975,2.58,0,0
30.28,30.253,30.283,12588,12209,1.03,0,0
30.286,30.283,30.313,18752,20318,0.92,0,0
30.354,30.313,30.393,113150,43185,2.62,0.01,0
30.471,30.393,30.503,115119,29244,3.94,0.01,0
30.543,30.503,30.597,259568,80198,3.24,0.02,0
30.612,30.597,30.627,24757,17746,1.4,0,1
30.643,30.627,30.667,23750,10890,2.18,0,0
30.671,30.667,30.693,23011,15431,1.49,0,0
30.7,30.693,30.72,18584,12934,1.44,0,1
30.75,30.72,30.777,28703,15779,1.82,0,0
30.793,30.777,30.8,9338,11031,0.85,0,0
30.849,30.8,30.883,62211,20396,3.05,0,0
30.886,30.883,30.89,3643,10334,0.35,0,0
30.913,30.89,30.92,28901,21401,1.35,0,0
30.926,30.92,30.93,13049,22783,0.57,0,0
30.952,30.93,30.96,39120,26491,1.48,0,0
30.967,30.96,30.973,11218,15445,0.73,0,0
30.98,30.973,30.993,13573,20156,0.67,0,0
30.998,30.993,31.02,11461,13060,0.88,0,0
31.03,31.02,31.037,7015,13654,0.51,0,0
31.185,31.037,31.56,58531243,11607555,5.04,4.11,1
31.373,31.367,31.377,4588,18734,0.24,0,0
31.423,31.42,31.447,8760,6522,1.34,0,0
