[Header]
Data File Name	D:\2019 KYB\Youngnam CHJ\Data-041.qgd
Output Date	9/6/2019
Output Time	10:54:20 AM

[File Information]
Type	Data File
Generated	4/12/2019 12:27:12 PM
Generated by	Admin
Modified	9/6/2019 10:13:48 AM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Analyzed	4/12/2019 12:29:18 PM
Type	Unknown
Level	4
Sample Name	STD_5ug scan
Sample ID	
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	15
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	D:\2019 KYB\Youngnam CHJ\Data-041.qgd
Method File	D:\2019 KYB\Youngnam CHJ\OA_SCAN nontarget.qgm
Batch File	
Report Format File	REPORT.qgr
Tuning File	C:\GCMSsolution\System\Tune1\20190330.qgt

[File Description]


[MC Peak Table]
# of Peaks	815
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index
85	11.141	11.077	11.187	TIC	14731575	6004372	2.45	1.03	 V 		
86	11.225	11.187	11.270	TIC	2707238	1103916	2.45	0.19	 V 		
87	11.299	11.270	11.317	TIC	497815	204876	2.43	0.03	 V 		
88	11.348	11.317	11.387	TIC	809144	256737	3.15	0.06	 V 		
89	11.418	11.387	11.457	TIC	891080	324616	2.75	0.06	 V 		
90	11.525	11.457	11.567	TIC	2891438	988138	2.93	0.20	 V 		
91	11.583	11.567	11.587	TIC	178835	164811	1.09	0.01	 V 		
92	11.593	11.587	11.647	TIC	591672	177355	3.34	0.04	 V 		
93	11.693	11.647	11.753	TIC	5087954	2098869	2.42	0.36	 V 		
94	11.772	11.753	11.800	TIC	248793	104310	2.39	0.02	 V 		
95	11.803	11.800	11.810	TIC	43977	76930	0.57	0.00	 V 		
96	11.848	11.810	11.903	TIC	481462	104493	4.61	0.03	 V 		
97	11.989	11.903	12.007	TIC	1212396	294419	4.12	0.09	 V 		
98	12.074	12.007	12.137	TIC	5213938	1284900	4.06	0.37	 V 		
99	12.274	12.137	12.323	TIC	55300477	13924375	3.97	3.88	 V 		
100	12.370	12.323	12.420	TIC	1152462	262039	4.40	0.08	 V 		
101	12.470	12.420	12.513	TIC	958082	200953	4.77	0.07	 V 		
102	12.553	12.513	12.623	TIC	1333458	320928	4.16	0.09	 V 		
103	12.676	12.623	12.733	TIC	6017035	2127566	2.83	0.42	 V 		
104	12.759	12.733	12.790	TIC	916241	336765	2.72	0.06	 V 		
105	12.848	12.790	12.890	TIC	1896449	468504	4.05	0.13	 V 		
106	12.943	12.890	12.977	TIC	3277251	1158369	2.83	0.23	 V 		
107	13.014	12.977	13.077	TIC	5368540	2012056	2.67	0.38	 V 		
108	13.090	13.077	13.093	TIC	221805	228755	0.97	0.02	 V 		
109	13.113	13.093	13.153	TIC	765938	248395	3.08	0.05	 V 		
110	13.177	13.153	13.243	TIC	826221	202039	4.09	0.06	 V 		
111	13.302	13.243	13.363	TIC	2741743	905733	3.03	0.19	 V 		
112	13.383	13.363	13.413	TIC	401537	158953	2.53	0.03	 V 		
113	13.416	13.413	13.420	TIC	41230	104672	0.39	0.00	 V 		
114	13.490	13.420	13.593	TIC	3179094	858113	3.70	0.22	 V 		
115	13.633	13.593	13.730	TIC	1024821	233157	4.40	0.07	 V 		
116	13.793	13.730	13.823	TIC	440030	110722	3.97	0.03	 V 		
117	13.874	13.823	13.913	TIC	2008845	731795	2.75	0.14	 V 		
118	13.944	13.913	13.967	TIC	837126	319360	2.62	0.06	 V 		
119	13.996	13.967	14.027	TIC	1023663	380704	2.69	0.07	 V 		
120	14.108	14.027	15.190	TIC	29867177	8957875	3.33	2.10	SV 		
121	14.162	14.153	14.167	TIC	9841	19479	0.51	0.00	T  		
122	14.170	14.167	14.197	TIC	28278	22354	1.27	0.00	TV 		
123	14.233	14.197	14.297	TIC	440622	141310	3.12	0.03	T  		
124	14.356	14.297	14.407	TIC	428492	107326	3.99	0.03	TV 		
125	14.409	14.407	14.417	TIC	15589	30404	0.51	0.00	TV 		
126	14.438	14.417	14.480	TIC	71858	35379	2.03	0.01	TV 		
127	14.536	14.490	14.573	TIC	248466	88449	2.81	0.02	T  		
128	14.594	14.573	14.623	TIC	88148	39185	2.25	0.01	TV 		
129	14.630	14.623	14.637	TIC	9453	15241	0.62	0.00	TV 		
130	14.683	14.637	14.690	TIC	111500	68434	1.63	0.01	TV 		
131	14.695	14.690	14.727	TIC	107265	68736	1.56	0.01	TV 		
132	14.774	14.727	14.823	TIC	905217	369628	2.45	0.06	TV 		
133	14.874	14.823	14.947	TIC	2161828	687058	3.15	0.15	TV 		
134	14.969	14.947	15.013	TIC	245280	96131	2.55	0.02	TV 		
135	15.042	15.013	15.057	TIC	107719	51339	2.10	0.01	TV 		
136	15.060	15.057	15.063	TIC	15086	38439	0.39	0.00	TV 		
137	15.069	15.063	15.077	TIC	32570	50197	0.65	0.00	TV 		
138	15.147	15.077	15.190	TIC	623556	184343	3.38	0.04	TV 		
139	15.249	15.190	15.320	TIC	4203264	1533490	2.74	0.29	 V 		
140	15.338	15.320	15.360	TIC	247884	114504	2.16	0.02	 V 		
141	15.439	15.360	15.523	TIC	1714728	291099	5.89	0.12	 V 		
142	15.565	15.523	15.590	TIC	729780	229814	3.18	0.05	 V 		
143	15.626	15.590	15.667	TIC	1055024	305228	3.46	0.07	 V 		
144	15.675	15.667	15.737	TIC	516649	158152	3.27	0.04	 V 		
145	15.743	15.737	15.763	TIC	133300	89795	1.48	0.01	 V 		
146	15.803	15.763	15.850	TIC	710902	212713	3.34	0.05	 V 		
147	15.905	15.850	15.943	TIC	800427	222171	3.60	0.06	 V 		
148	15.991	15.943	16.040	TIC	1065781	282878	3.77	0.07	 V 		
149	16.079	16.040	16.127	TIC	614892	166604	3.69	0.04	 V 		
150	16.130	16.127	16.147	TIC	86847	87215	1.00	0.01	 V 		
151	16.213	16.147	16.253	TIC	1754738	544546	3.22	0.12	 V 		
152	16.297	16.253	16.377	TIC	2911144	775004	3.76	0.20	 V 		
153	16.453	16.377	16.470	TIC	2640083	811841	3.25	0.19	 V 		
154	16.567	16.470	16.633	TIC	56481782	13750029	4.11	3.96	 V 		
155	16.711	16.633	16.740	TIC	2534504	547730	4.63	0.18	 V 		
156	16.749	16.740	16.823	TIC	1236079	376608	3.28	0.09	 V 		
157	16.865	16.823	16.890	TIC	495761	152064	3.26	0.03	 V 		
158	16.920	16.890	16.960	TIC	444523	136047	3.27	0.03	 V 		
159	17.018	16.960	17.047	TIC	1750358	619916	2.82	0.12	 V 		
160	17.086	17.047	17.120	TIC	2364450	845764	2.80	0.17	 V 		
161	17.243	17.120	17.303	TIC	52343631	11383108	4.60	3.67	 V 		
162	17.308	17.303	17.337	TIC	346749	196240	1.77	0.02	 V 		
163	17.364	17.337	17.410	TIC	677326	181498	3.73	0.05	 V 		
164	17.443	17.410	17.467	TIC	409055	130201	3.14	0.03	 V 		
165	17.496	17.467	17.533	TIC	571277	170826	3.34	0.04	 V 		
166	17.570	17.533	17.657	TIC	1227054	260399	4.71	0.09	 V 		
167	17.673	17.657	17.720	TIC	430973	139990	3.08	0.03	 V 		
168	17.790	17.720	17.840	TIC	1189941	237333	5.01	0.08	 V 		
169	17.892	17.840	17.937	TIC	896879	191142	4.69	0.06	 V 		
170	17.953	17.937	18.000	TIC	473570	183203	2.58	0.03	 V 		
171	18.052	18.000	18.127	TIC	1446048	447034	3.23	0.10	 V 		
172	18.193	18.127	18.227	TIC	1223644	376734	3.25	0.09	 V 		
173	18.259	18.227	18.293	TIC	694148	226333	3.07	0.05	 V 		
174	18.326	18.293	18.393	TIC	983824	283306	3.47	0.07	 V 		
175	18.398	18.393	18.443	TIC	212385	80648	2.63	0.01	 V 		
176	18.519	18.443	18.583	TIC	2832748	807325	3.51	0.20	 V 		
