Ret.Time,Proc.From,Proc.To,Mass,Area,Height,A/H,Conc.,Mark,Name,Ret. Index
4.163,4.01,4.2,TIC,199761034,27153794,7.36,14.01,   ,,
4.253,4.2,4.33,TIC,117549848,27808033,4.23,8.25,SV ,,
4.313,4.3,4.33,TIC,1194903,1295251,0.92,0.08,T  ,,
4.361,4.33,4.38,TIC,8153694,3954332,2.06,0.57, V ,,
4.393,4.38,4.417,TIC,3811701,2628854,1.45,0.27, V ,,
4.44,4.417,4.47,TIC,5094866,2940907,1.73,0.36, V ,,
4.493,4.47,4.523,TIC,1739721,719133,2.42,0.12, V ,,
4.557,4.523,4.593,TIC,2701816,861279,3.14,0.19, V ,,
4.626,4.593,4.647,TIC,2629067,995640,2.64,0.18, V ,,
4.668,4.647,4.697,TIC,2827023,1421616,1.99,0.2, V ,,
4.719,4.697,4.753,TIC,1743408,900816,1.94,0.12, V ,,
4.801,4.753,4.883,TIC,12174616,5175514,2.35,0.85, V ,,
4.927,4.883,4.97,TIC,1992184,624231,3.19,0.14, V ,,
5.05,4.97,5.09,TIC,3787231,1673203,2.26,0.27, V ,,
5.117,5.09,5.12,TIC,348529,243919,1.43,0.02, V ,,
5.175,5.12,5.24,TIC,10109920,4167602,2.43,0.71, V ,,
5.268,5.24,5.287,TIC,2959593,1481992,2,0.21, V ,,
5.307,5.287,5.343,TIC,4429969,2356883,1.88,0.31, V ,,
5.376,5.343,5.44,TIC,1946083,710833,2.74,0.14, V ,,
5.481,5.44,5.533,TIC,2672201,1262896,2.12,0.19, V ,,
5.571,5.533,5.633,TIC,3517506,1411944,2.49,0.25, V ,,
5.766,5.633,5.837,TIC,25824909,8565880,3.01,1.81, V ,,
5.93,5.837,5.957,TIC,53684158,16299084,3.29,3.77, V ,,
5.971,5.957,6.003,TIC,2167893,1398961,1.55,0.15, V ,,
6.068,6.003,6.15,TIC,5306785,1295837,4.1,0.37, V ,,
6.166,6.15,6.197,TIC,385409,156218,2.47,0.03, V ,,
6.211,6.197,6.227,TIC,176645,104036,1.7,0.01, V ,,
6.27,6.227,6.297,TIC,2574473,1176874,2.19,0.18, V ,,
6.311,6.297,6.333,TIC,861215,444512,1.94,0.06, V ,,
6.375,6.333,6.417,TIC,4333393,1719137,2.52,0.3, V ,,
6.453,6.417,6.513,TIC,6288315,2195014,2.86,0.44, V ,,
6.56,6.513,6.6,TIC,15881620,7480367,2.12,1.11, V ,,
6.626,6.6,6.663,TIC,926947,336700,2.75,0.07, V ,,
6.706,6.663,6.74,TIC,1109133,367470,3.02,0.08, V ,,
6.845,6.74,6.88,TIC,22556910,8547946,2.64,1.58, V ,,
6.899,6.88,6.923,TIC,2092451,1038045,2.02,0.15, V ,,
6.942,6.923,6.983,TIC,2138859,777982,2.75,0.15, V ,,
7.016,6.983,7.05,TIC,2893657,1343560,2.15,0.2, V ,,
7.087,7.05,7.12,TIC,5524469,2475555,2.23,0.39, V ,,
7.132,7.12,7.173,TIC,1557686,792169,1.97,0.11, V ,,
7.187,7.173,7.233,TIC,557706,215521,2.59,0.04, V ,,
7.283,7.233,7.32,TIC,794509,198646,4,0.06, V ,,
7.405,7.32,7.467,TIC,23345516,9129391,2.56,1.64, V ,,
7.492,7.467,7.54,TIC,833445,321024,2.6,0.06, V ,,
7.606,7.54,7.687,TIC,8987984,3805629,2.36,0.63,SV ,,
7.661,7.65,7.68,TIC,49159,41474,1.19,0,T  ,,
7.728,7.687,7.8,TIC,2616934,978957,2.67,0.18, V ,,
7.846,7.8,7.887,TIC,898143,286293,3.14,0.06, V ,,
7.925,7.887,7.96,TIC,773122,277024,2.79,0.05, V ,,
7.967,7.96,7.987,TIC,181979,113108,1.61,0.01, V ,,
8.099,7.987,8.16,TIC,3259834,629492,5.18,0.23, V ,,
8.173,8.16,8.193,TIC,176535,101158,1.75,0.01, V ,,
8.238,8.193,8.267,TIC,489532,135150,3.62,0.03, V ,,
8.351,8.267,8.437,TIC,41180190,13281325,3.1,2.89, V ,,
8.552,8.437,8.587,TIC,48637769,12229670,3.98,3.41, V ,,
8.641,8.587,8.71,TIC,6181407,2282485,2.71,0.43, V ,,
8.759,8.71,8.823,TIC,3742995,1495379,2.5,0.26,SV ,,
8.803,8.8,8.823,TIC,9748,3626,2.69,0,T  ,,
8.903,8.823,8.963,TIC,4284948,1396983,3.07,0.3, V ,,
8.998,8.963,9.037,TIC,1358161,520135,2.61,0.1, V ,,
9.065,9.037,9.087,TIC,621142,247638,2.51,0.04, V ,,
9.117,9.087,9.15,TIC,1497037,627090,2.39,0.11, V ,,
9.162,9.15,9.2,TIC,681088,273209,2.49,0.05, V ,,
9.226,9.2,9.257,TIC,648813,206051,3.15,0.05, V ,,
9.272,9.257,9.283,TIC,284761,192481,1.48,0.02, V ,,
9.292,9.283,9.313,TIC,321511,193215,1.66,0.02, V ,,
9.344,9.313,9.403,TIC,1072630,328674,3.26,0.08, V ,,
9.456,9.403,9.543,TIC,1646767,279950,5.88,0.12, V ,,
9.573,9.543,9.603,TIC,410376,142188,2.89,0.03, V ,,
9.665,9.603,9.7,TIC,1721919,603635,2.85,0.12, V ,,
9.729,9.7,9.763,TIC,838170,307570,2.73,0.06, V ,,
9.857,9.763,9.9,TIC,5487544,1736658,3.16,0.38, V ,,
9.947,9.9,10.03,TIC,5722003,2215469,2.58,0.4,SV ,,
10.022,10.017,10.03,TIC,1497,6535,0.23,0,T  ,,
10.1,10.03,10.137,TIC,6918060,2839479,2.44,0.49, V ,,
10.169,10.137,10.267,TIC,2351772,728295,3.23,0.16, V ,,
10.344,10.267,10.383,TIC,1054607,265615,3.97,0.07, V ,,
10.423,10.383,10.463,TIC,670888,190449,3.52,0.05, V ,,
10.505,10.463,10.573,TIC,731606,180285,4.06,0.05, V ,,
10.651,10.573,10.693,TIC,3708949,1084360,3.42,0.26, V ,,
10.778,10.693,10.84,TIC,38692061,12023413,3.22,2.71, V ,,
10.862,10.84,10.89,TIC,381466,150989,2.53,0.03, V ,,
10.94,10.89,10.97,TIC,1876740,766482,2.45,0.13, V ,,
11.008,10.97,11.077,TIC,4074779,1559116,2.61,0.29, V ,,
11.141,11.077,11.187,TIC,14731575,6004372,2.45,1.03, V ,,
11.225,11.187,11.27,TIC,2707238,1103916,2.45,0.19, V ,,
11.299,11.27,11.317,TIC,497815,204876,2.43,0.03, V ,,
11.348,11.317,11.387,TIC,809144,256737,3.15,0.06, V ,,
11.418,11.387,11.457,TIC,891080,324616,2.75,0.06, V ,,
11.525,11.457,11.567,TIC,2891438,988138,2.93,0.2, V ,,
11.583,11.567,11.587,TIC,178835,164811,1.09,0.01, V ,,
11.593,11.587,11.647,TIC,591672,177355,3.34,0.04, V ,,
11.693,11.647,11.753,TIC,5087954,2098869,2.42,0.36, V ,,
11.772,11.753,11.8,TIC,248793,104310,2.39,0.02, V ,,
11.803,11.8,11.81,TIC,43977,76930,0.57,0, V ,,
11.848,11.81,11.903,TIC,481462,104493,4.61,0.03, V ,,
11.989,11.903,12.007,TIC,1212396,294419,4.12,0.09, V ,,
12.074,12.007,12.137,TIC,5213938,1284900,4.06,0.37, V ,,
12.274,12.137,12.323,TIC,55300477,13924375,3.97,3.88, V ,,
12.37,12.323,12.42,TIC,1152462,262039,4.4,0.08, V ,,
12.47,12.42,12.513,TIC,958082,200953,4.77,0.07, V ,,
12.553,12.513,12.623,TIC,1333458,320928,4.16,0.09, V ,,
12.676,12.623,12.733,TIC,6017035,2127566,2.83,0.42, V ,,
12.759,12.733,12.79,TIC,916241,336765,2.72,0.06, V ,,
12.848,12.79,12.89,TIC,1896449,468504,4.05,0.13, V ,,
12.943,12.89,12.977,TIC,3277251,1158369,2.83,0.23, V ,,
13.014,12.977,13.077,TIC,5368540,2012056,2.67,0.38, V ,,
13.09,13.077,13.093,TIC,221805,228755,0.97,0.02, V ,,
13.113,13.093,13.153,TIC,765938,248395,3.08,0.05, V ,,
13.177,13.153,13.243,TIC,826221,202039,4.09,0.06, V ,,
13.302,13.243,13.363,TIC,2741743,905733,3.03,0.19, V ,,
13.383,13.363,13.413,TIC,401537,158953,2.53,0.03, V ,,
13.416,13.413,13.42,TIC,41230,104672,0.39,0, V ,,
13.49,13.42,13.593,TIC,3179094,858113,3.7,0.22, V ,,
13.633,13.593,13.73,TIC,1024821,233157,4.4,0.07, V ,,
13.793,13.73,13.823,TIC,440030,110722,3.97,0.03, V ,,
13.874,13.823,13.913,TIC,2008845,731795,2.75,0.14, V ,,
13.944,13.913,13.967,TIC,837126,319360,2.62,0.06, V ,,
13.996,13.967,14.027,TIC,1023663,380704,2.69,0.07, V ,,
14.108,14.027,15.19,TIC,29867177,8957875,3.33,2.1,SV ,,
14.162,14.153,14.167,TIC,9841,19479,0.51,0,T  ,,
14.17,14.167,14.197,TIC,28278,22354,1.27,0,TV ,,
14.233,14.197,14.297,TIC,440622,141310,3.12,0.03,T  ,,
14.356,14.297,14.407,TIC,428492,107326,3.99,0.03,TV ,,
14.409,14.407,14.417,TIC,15589,30404,0.51,0,TV ,,
14.438,14.417,14.48,TIC,71858,35379,2.03,0.01,TV ,,
14.536,14.49,14.573,TIC,248466,88449,2.81,0.02,T  ,,
14.594,14.573,14.623,TIC,88148,39185,2.25,0.01,TV ,,
14.63,14.623,14.637,TIC,9453,15241,0.62,0,TV ,,
14.683,14.637,14.69,TIC,111500,68434,1.63,0.01,TV ,,
14.695,14.69,14.727,TIC,107265,68736,1.56,0.01,TV ,,
14.774,14.727,14.823,TIC,905217,369628,2.45,0.06,TV ,,
14.874,14.823,14.947,TIC,2161828,687058,3.15,0.15,TV ,,
14.969,14.947,15.013,TIC,245280,96131,2.55,0.02,TV ,,
15.042,15.013,15.057,TIC,107719,51339,2.1,0.01,TV ,,
15.06,15.057,15.063,TIC,15086,38439,0.39,0,TV ,,
15.069,15.063,15.077,TIC,32570,50197,0.65,0,TV ,,
15.147,15.077,15.19,TIC,623556,184343,3.38,0.04,TV ,,
15.249,15.19,15.32,TIC,4203264,1533490,2.74,0.29, V ,,
15.338,15.32,15.36,TIC,247884,114504,2.16,0.02, V ,,
15.439,15.36,15.523,TIC,1714728,291099,5.89,0.12, V ,,
15.565,15.523,15.59,TIC,729780,229814,3.18,0.05, V ,,
15.626,15.59,15.667,TIC,1055024,305228,3.46,0.07, V ,,
15.675,15.667,15.737,TIC,516649,158152,3.27,0.04, V ,,
15.743,15.737,15.763,TIC,133300,89795,1.48,0.01, V ,,
15.803,15.763,15.85,TIC,710902,212713,3.34,0.05, V ,,
15.905,15.85,15.943,TIC,800427,222171,3.6,0.06, V ,,
15.991,15.943,16.04,TIC,1065781,282878,3.77,0.07, V ,,
16.079,16.04,16.127,TIC,614892,166604,3.69,0.04, V ,,
16.13,16.127,16.147,TIC,86847,87215,1,0.01, V ,,
16.213,16.147,16.253,TIC,1754738,544546,3.22,0.12, V ,,
16.297,16.253,16.377,TIC,2911144,775004,3.76,0.2, V ,,
16.453,16.377,16.47,TIC,2640083,811841,3.25,0.19, V ,,
16.567,16.47,16.633,TIC,56481782,13750029,4.11,3.96, V ,,
16.711,16.633,16.74,TIC,2534504,547730,4.63,0.18, V ,,
16.749,16.74,16.823,TIC,1236079,376608,3.28,0.09, V ,,
16.865,16.823,16.89,TIC,495761,152064,3.26,0.03, V ,,
16.92,16.89,16.96,TIC,444523,136047,3.27,0.03, V ,,
17.018,16.96,17.047,TIC,1750358,619916,2.82,0.12, V ,,
17.086,17.047,17.12,TIC,2364450,845764,2.8,0.17, V ,,
17.243,17.12,17.303,TIC,52343631,11383108,4.6,3.67, V ,,
17.308,17.303,17.337,TIC,346749,196240,1.77,0.02, V ,,
17.364,17.337,17.41,TIC,677326,181498,3.73,0.05, V ,,
17.443,17.41,17.467,TIC,409055,130201,3.14,0.03, V ,,
17.496,17.467,17.533,TIC,571277,170826,3.34,0.04, V ,,
17.57,17.533,17.657,TIC,1227054,260399,4.71,0.09, V ,,
17.673,17.657,17.72,TIC,430973,139990,3.08,0.03, V ,,
17.79,17.72,17.84,TIC,1189941,237333,5.01,0.08, V ,,
17.892,17.84,17.937,TIC,896879,191142,4.69,0.06, V ,,
17.953,17.937,18,TIC,473570,183203,2.58,0.03, V ,,
18.052,18,18.127,TIC,1446048,447034,3.23,0.1, V ,,
18.193,18.127,18.227,TIC,1223644,376734,3.25,0.09, V ,,
18.259,18.227,18.293,TIC,694148,226333,3.07,0.05, V ,,
18.326,18.293,18.393,TIC,983824,283306,3.47,0.07, V ,,
18.398,18.393,18.443,TIC,212385,80648,2.63,0.01, V ,,
18.519,18.443,18.583,TIC,2832748,807325,3.51,0.2, V ,,
18.613,18.583,18.62,TIC,202636,106895,1.9,0.01, V ,,
18.623,18.62,18.65,TIC,164438,105237,1.56,0.01, V ,,
18.705,18.65,18.773,TIC,908433,189760,4.79,0.06, V ,,
18.801,18.773,18.823,TIC,222094,85539,2.6,0.02, V ,,
18.838,18.823,18.85,TIC,115425,77731,1.48,0.01, V ,,
18.869,18.85,18.873,TIC,107395,88918,1.21,0.01, V ,,
18.923,18.873,18.957,TIC,546445,144492,3.78,0.04, V ,,
18.979,18.957,19.027,TIC,324880,85004,3.82,0.02, V ,,
19.057,19.027,19.06,TIC,225844,165190,1.37,0.02, V ,,
19.067,19.06,19.09,TIC,276702,173481,1.59,0.02, V ,,
19.15,19.09,19.21,TIC,6507232,2446523,2.66,0.46, V ,,
19.26,19.21,19.307,TIC,1052377,287037,3.67,0.07, V ,,
19.336,19.307,19.343,TIC,280537,149801,1.87,0.02, V ,,
19.348,19.343,19.41,TIC,445841,149258,2.99,0.03, V ,,
19.43,19.41,19.437,TIC,151095,103714,1.46,0.01, V ,,
19.44,19.437,19.447,TIC,58196,99028,0.59,0, V ,,
19.466,19.447,19.493,TIC,294007,115699,2.54,0.02, V ,,
19.503,19.493,19.523,TIC,179245,103178,1.74,0.01, V ,,
19.57,19.523,19.627,TIC,864900,248227,3.48,0.06, V ,,
19.679,19.627,19.787,TIC,1020165,198230,5.15,0.07, V ,,
19.849,19.787,19.9,TIC,514659,115077,4.47,0.04, V ,,
19.958,19.9,20.007,TIC,2209892,833905,2.65,0.16, V ,,
20.013,20.007,20.02,TIC,69155,90039,0.77,0, V ,,
20.022,20.02,20.043,TIC,115284,89768,1.28,0.01, V ,,
20.066,20.043,20.11,TIC,345792,111359,3.11,0.02, V ,,
20.167,20.11,20.223,TIC,1002968,287337,3.49,0.07, V ,,
20.233,20.223,20.26,TIC,118324,55932,2.12,0.01, V ,,
20.289,20.26,20.293,TIC,112970,65064,1.74,0.01, V ,,
20.299,20.293,20.33,TIC,138042,72422,1.91,0.01, V ,,
20.38,20.33,20.437,TIC,1241156,399145,3.11,0.09, V ,,
20.493,20.437,20.517,TIC,1367450,477393,2.86,0.1, V ,,
20.554,20.517,20.587,TIC,2796648,1050615,2.66,0.2, V ,,
20.615,20.587,20.687,TIC,1470684,531272,2.77,0.1, V ,,
20.723,20.687,20.73,TIC,174318,80873,2.16,0.01, V ,,
20.749,20.73,20.763,TIC,155129,82405,1.88,0.01, V ,,
